,speed,rpm,load
1423,2,921,23
1520,21,1470,25
1521,19,1391,26
1522,26,1890,66
1523,28,1986,3
1526,12,821,86
1527,18,1297,72
1528,20,1423,45
1529,19,1358,44
1530,19,1358,44
1531,16,1141,45
1532,16,1141,45
1533,9,924,45
1534,9,924,45
1535,3,916,48
1536,3,916,48
1540,2,867,40
1541,1,882,54
1542,7,904,76
1543,3,912,57
1544,3,899,66
1545,7,953,96
1546,14,1794,38
1547,11,1352,31
1548,9,1175,41
1549,7,796,41
1550,7,930,48
1551,4,908,52
1552,4,908,52
1553,2,921,50
1554,2,921,50
1555,3,888,70
1556,3,888,70
1557,8,962,96
1558,8,962,96
1559,16,1797,8
1560,16,1797,8
1561,14,969,67
1562,14,969,67
1563,18,1295,46
1564,19,1345,26
1565,20,1438,40
1566,22,1516,25
1567,20,1483,28
1568,21,1498,20
1569,19,1362,45
1570,21,1465,26
1571,19,1333,1
1572,19,1346,41
1573,23,1639,41
1574,29,1996,38
1575,28,1302,14
1577,22,992,70
1578,21,990,76
1579,22,990,74
1580,22,990,35
1581,21,847,29
1582,14,961,31
1583,14,961,30
1584,11,843,68
1585,4,917,43
1595,3,769,54
1596,1,933,46
1599,1,903,55
1600,3,934,53
1601,6,949,59
1602,7,915,45
1603,1,914,49
1604,2,908,60
1605,1,914,49
1606,6,937,59
1607,6,848,78
1608,17,1758,1
1609,24,1735,59
1610,28,1264,31
1611,29,1332,9
1612,29,1316,25
1613,30,1408,9
1614,24,1070,3
1615,19,842,29
1616,16,901,40
1617,9,901,71
1618,14,1033,86
1619,11,786,71
1620,11,900,46
1621,14,1012,29
1622,13,941,12
1623,13,907,24
1624,10,824,61
1626,12,876,34
1627,13,933,30
1628,6,851,55
1629,12,880,97
1630,15,1100,64
1631,18,1155,32
1633,15,1043,43
1634,13,941,13
1635,12,900,25
1636,12,876,45
1639,12,869,49
1640,12,947,58
1641,13,924,60
1642,8,927,43
1643,9,951,49
1644,8,895,55
1645,13,980,40
1646,12,915,44
1647,11,920,44
1648,14,922,44
1649,11,923,44
1650,6,922,44
1651,1,916,45
1652,1,903,45
1653,6,919,41
1654,6,905,55
1655,5,857,47
1656,3,864,59
1657,13,1607,31
1658,16,1198,33
1659,25,1662,14
1660,14,883,32
1661,6,852,69
1662,8,920,43
1663,8,952,41
1664,14,990,98
1665,22,1515,20
1666,26,1751,15
1667,13,865,34
1668,21,1522,60
1669,22,1514,34
1670,13,893,29
1671,3,854,56
1672,4,911,69
1673,15,1890,56
1674,18,1310,60
1675,18,1303,34
1676,18,1303,34
1677,21,1479,45
1678,21,1479,45
1679,25,1734,29
1680,25,1734,29
1681,29,2086,76
1682,29,2086,76
1683,35,1609,41
1684,35,1609,41
1685,36,1615,6
1686,34,1556,40
1688,9,747,97
1689,15,1012,95
1690,9,876,34
1691,9,876,34
1692,10,975,87
1693,18,1241,25
1694,18,1208,25
1695,16,1157,25
1696,8,892,18
1697,7,1294,40
1699,23,1476,69
1700,23,1476,69
1701,14,988,30
1702,15,988,46
1703,23,1627,5
1705,11,869,38
1706,6,763,98
1707,9,849,98
1708,18,1258,61
1709,19,1347,45
1710,17,1208,58
1711,16,1161,58
1712,13,783,26
1713,6,892,43
1714,8,1037,69
1715,18,2034,5
1716,16,1062,27
1717,14,1022,20
1718,10,783,55
1719,10,909,39
1720,5,841,41
1721,1,916,40
1723,5,913,45
1724,3,918,41
1729,1,932,40
1730,2,917,47
1732,1,932,45
1734,5,923,54
1735,2,923,43
1736,1,931,40
1737,2,864,73
1738,6,933,46
1739,5,920,45
1740,5,936,44
1741,8,951,51
1742,13,933,15
1743,13,887,43
1744,21,1477,42
1745,22,1371,12
1747,11,809,52
1748,9,915,52
1749,10,881,57
1750,5,889,69
1751,9,917,69
1753,21,1446,6
1754,15,1338,12
1755,13,907,39
1756,15,1083,89
1757,16,1390,28
1758,19,1402,62
1759,23,1612,57
1761,13,921,60
1762,11,788,66
1763,11,835,98
1764,20,1423,65
1765,29,1669,1
1766,29,1295,43
1767,31,1391,44
1768,31,1385,31
1769,31,1378,52
1770,35,1579,58
1771,43,1966,54
1772,43,1966,54
1773,49,2228,47
1774,49,2228,47
1776,39,1766,10
1777,37,1650,35
1778,37,1683,36
1779,41,1844,46
1780,41,1844,46
1781,41,1844,46
1782,43,1952,46
1783,46,2079,43
1784,47,2122,38
1785,47,2100,31
1786,48,2153,51
1787,49,1612,23
1788,51,1660,51
1789,55,1783,58
1790,54,1753,30
1791,53,1717,29
1792,54,1728,28
1793,54,1766,34
1794,59,1910,41
1796,63,888,36
1797,65,912,37
1798,67,917,37
1799,68,919,38
1800,68,919,37
1801,68,919,37
1802,66,919,38
1803,48,918,38
1804,43,922,38
1805,36,919,39
1806,33,1475,34
1807,32,1436,43
1808,33,1518,23
1809,32,1446,23
1810,32,1446,23
1811,32,1435,38
1812,31,1346,38
1814,23,1054,27
1815,24,1578,34
1816,24,1578,34
1817,28,2141,44
1818,31,2099,11
1822,22,1651,53
1823,28,1136,38
1824,32,1495,40
1825,32,1654,32
1826,32,1654,32
1827,38,1683,28
1828,38,1683,28
1829,38,1727,4
1830,38,1727,4
1831,37,1648,4
1832,36,1648,21
1833,39,1729,13
1835,36,1712,30
1836,40,1788,23
1837,37,1666,12
1838,37,1664,9
1839,34,1589,18
1840,39,1777,42
1841,43,1935,68
1842,45,1471,45
1843,45,1432,2
1845,40,1262,4
1846,43,1380,65
1847,46,1465,30
1849,43,1375,9
1850,45,1457,56
1851,53,1706,58
1852,56,1835,41
1853,59,1892,38
1854,56,1807,33
1855,52,1646,2
1858,22,845,40
1859,13,947,58
1860,11,809,36
1861,14,1001,60
1862,16,1166,54
1863,18,1266,42
1864,18,1275,30
1865,18,1274,29
1866,18,1261,41
1867,18,1236,10
1868,13,927,24
1869,17,1242,52
1870,19,1363,41
1871,19,1243,41
1872,19,1243,41
1875,13,911,58
1876,13,911,58
1877,12,901,59
1878,12,901,59
1879,16,1383,64
1880,16,1383,64
1881,34,2176,55
1882,34,2176,55
1883,34,2176,55
1886,42,1900,20
1887,42,1900,20
1888,44,1964,4
1889,44,1964,4
1890,43,1964,6
1891,43,1964,6
1892,43,1964,6
1897,51,1626,15
1898,51,1626,15
1901,49,1582,16
1902,49,1582,16
1903,54,1702,36
1905,46,1489,60
1907,44,1435,18
1909,43,1385,45
1910,46,1498,41
1911,47,1502,14
1912,46,1481,32
1913,46,1445,11
1914,43,1431,20
1915,43,1431,20
1916,46,1492,43
1917,46,1492,43
1918,50,1614,42
1919,50,1614,42
1920,50,1614,42
1921,50,1614,42
1922,50,1614,42
1924,48,1547,76
1925,59,1909,86
1926,62,1994,42
1927,62,1994,42
1928,70,2248,84
1929,72,1845,29
1930,75,1837,56
1931,78,1888,38
1932,77,1881,23
1933,76,1859,7
1934,75,1821,41
1935,76,1847,54
1936,76,1863,27
1937,75,1818,3
1939,71,1748,56
1940,75,1815,30
1941,76,1860,2
1942,76,1860,2
1943,77,1872,72
1944,80,1938,40
1945,80,1947,38
1946,78,1899,3
1949,58,1440,18
1950,59,1433,20
1951,58,1411,5
1953,54,1331,38
1954,55,1330,41
1955,50,1196,6
1956,46,1451,27
1958,53,1684,32
1959,52,1670,25
1960,53,1696,43
1962,52,1703,25
1963,52,1606,3
1964,48,1557,45
1965,48,1519,8
1966,48,1612,45
1967,52,1676,45
1968,52,1676,45
1969,52,1676,45
1970,53,1720,46
1971,53,1720,46
1972,56,1806,47
1973,56,1806,47
1974,58,1867,52
1975,58,1867,52
1976,57,1393,61
1977,57,1393,61
1978,61,1487,58
1979,61,1487,58
1980,61,1495,5
1981,62,1517,57
1982,66,1610,54
1983,68,1665,35
1984,69,1673,32
1985,69,1646,11
1986,69,1646,11
1987,68,1649,36
1988,68,1649,36
1989,68,1639,16
1990,68,1639,16
1991,66,1595,10
1992,66,1595,10
1993,64,1553,8
1994,64,1553,8
1999,58,1411,45
2000,58,1411,45
2001,59,1434,1
2002,59,1434,1
2006,50,869,32
2007,50,869,32
2008,50,869,32
2009,50,869,32
2010,51,916,26
2011,52,918,27
2012,53,919,27
2013,51,908,34
2014,50,915,36
2015,50,915,36
2016,43,921,32
2017,43,921,32
2018,42,1363,50
2019,44,1440,54
2020,46,1479,44
2021,47,1499,40
2022,48,1549,28
2023,47,1506,40
2024,48,1534,28
2025,48,1541,30
2026,46,1488,5
2027,37,1228,20
2028,36,1171,47
2029,38,1231,68
2030,38,1233,42
2031,40,1297,56
2032,41,1340,45
2033,39,1274,4
2034,36,1170,9
2035,32,972,29
2036,32,1033,98
2037,35,1135,37
2038,35,1162,63
2039,38,1225,46
2040,38,1408,84
2042,48,1616,7
2045,37,1209,76
2046,42,1356,57
2047,46,1408,51
2048,48,1509,45
2052,37,1181,14
2053,38,1208,61
2054,40,1304,29
2055,42,1355,23
2058,39,1256,47
2059,43,1384,19
2060,43,1390,14
2062,32,1042,1
2063,30,979,5
2064,31,1003,94
2066,25,1137,63
2067,29,1329,45
2068,32,1450,44
2069,38,1718,43
2070,44,1980,46
2071,46,2079,38
2072,44,1993,1
2073,41,1839,14
2074,43,1975,70
2075,52,2089,1
2076,52,2089,1
2077,52,1717,43
2078,52,1717,43
2079,56,1794,38
2080,56,1794,38
2081,59,1893,33
2082,59,1893,33
2083,61,1982,38
2084,61,1982,38
2085,69,2236,58
2086,71,2300,22
2090,55,1770,40
2091,55,1772,5
2094,44,1421,3
2095,44,1437,32
2096,47,1528,18
2097,47,1508,10
2098,41,1377,16
2099,46,1505,64
2100,48,1566,37
2101,53,1709,53
2102,58,1883,66
2103,60,877,23
2104,56,1392,40
2105,56,1353,60
2106,56,1364,78
2107,58,1401,78
2108,63,1401,76
2109,67,1606,73
2110,4,1762,53
2111,4,1762,53
2112,4,1736,3
2113,4,1736,3
2118,61,1513,18
2119,61,1513,18
2120,60,1478,32
2121,62,1485,13
2123,54,1298,64
2124,57,1375,78
2125,63,1535,87
2126,68,1661,49
2127,73,1774,61
2128,75,1833,43
2129,76,1851,36
2130,75,1821,8
2131,75,1832,32
2132,76,1851,39
2133,77,1879,31
2134,79,1926,37
2135,78,1900,2
2136,77,1877,40
2137,81,1975,48
2141,65,1572,1
2143,62,895,29
2144,60,914,27
2145,56,918,27
2146,55,921,25
2147,50,913,29
2148,46,929,27
2150,42,1382,12
2151,46,1481,72
2152,51,1646,63
2153,56,1803,56
2154,56,1813,7
2156,47,1522,16
2157,49,1567,10
2158,51,1638,32
